Complexity metrics (2),Mon, 9 Jan 2023 16:33:03 EET
Method,CogC,ev(G),iv(G),QCP_MAINT,V,v(G)
com.example.socialnetworkgui.HelloApplication.main(String[]),0,1,1,15,8,1
com.example.socialnetworkgui.HelloApplication.start(Stage),0,1,1,61,70,1
com.example.socialnetworkgui.HelloController.onHelloButtonClick(),0,1,1,18,11,1
com.example.socialnetworkgui.Main.main(String[]),0,1,1,126,158,1
com.example.socialnetworkgui.Main.printCommands(),0,1,1,111,128,1
com.example.socialnetworkgui.controller.AddFriendPage.handleAdd(ActionEvent),1,1,2,63,72,2
com.example.socialnetworkgui.controller.AddFriendPage.handleBack(ActionEvent),1,1,2,116,166,2
com.example.socialnetworkgui.controller.AddFriendPage.initModel(),0,1,1,44,48,1
com.example.socialnetworkgui.controller.AddFriendPage.initialize(),0,1,1,44,44,1
"com.example.socialnetworkgui.controller.AddFriendPage.setService(ServiceUser, ServiceFriendship, ServiceMessage)",0,1,1,42,39,1
com.example.socialnetworkgui.controller.AddFriendPage.update(FriendshipEntityChangeEvent),0,1,1,12,4,1
com.example.socialnetworkgui.controller.FriendRequestPage.handleAccept(ActionEvent),1,1,2,63,72,2
com.example.socialnetworkgui.controller.FriendRequestPage.handleBack(ActionEvent),1,1,2,116,166,2
com.example.socialnetworkgui.controller.FriendRequestPage.handleDecline(ActionEvent),1,1,2,63,72,2
com.example.socialnetworkgui.controller.FriendRequestPage.initModel(),1,1,2,60,68,2
com.example.socialnetworkgui.controller.FriendRequestPage.initialize(),0,1,1,44,44,1
"com.example.socialnetworkgui.controller.FriendRequestPage.setService(ServiceUser, ServiceFriendship, ServiceMessage)",0,1,1,42,39,1
com.example.socialnetworkgui.controller.FriendRequestPage.update(FriendshipEntityChangeEvent),0,1,1,12,4,1
com.example.socialnetworkgui.controller.Login.login(ActionEvent),1,1,2,202,325,2
com.example.socialnetworkgui.controller.Login.onSignUp(ActionEvent),1,1,2,89,117,2
com.example.socialnetworkgui.controller.MessagePage.handleBack(ActionEvent),1,1,2,116,166,2
com.example.socialnetworkgui.controller.MessagePage.handleSend(ActionEvent),1,1,2,118,153,2
com.example.socialnetworkgui.controller.MessagePage.initModel(),1,1,2,60,68,2
com.example.socialnetworkgui.controller.MessagePage.initialize(),0,1,1,44,44,1
"com.example.socialnetworkgui.controller.MessagePage.setService(ServiceUser, ServiceFriendship, ServiceMessage)",0,1,1,42,39,1
com.example.socialnetworkgui.controller.ReceivedMessagesPage.handleBack(ActionEvent),1,1,2,116,166,2
com.example.socialnetworkgui.controller.ReceivedMessagesPage.initModel(),1,1,2,60,68,2
com.example.socialnetworkgui.controller.ReceivedMessagesPage.initialize(),0,1,1,57,62,1
"com.example.socialnetworkgui.controller.ReceivedMessagesPage.setService(ServiceUser, ServiceFriendship, ServiceMessage)",0,1,1,42,39,1
com.example.socialnetworkgui.controller.SentFriendRequestPage.handleBack(ActionEvent),1,1,2,116,166,2
com.example.socialnetworkgui.controller.SentFriendRequestPage.handleDecline(ActionEvent),1,1,2,63,72,2
com.example.socialnetworkgui.controller.SentFriendRequestPage.initModel(),1,1,2,60,68,2
com.example.socialnetworkgui.controller.SentFriendRequestPage.initialize(),0,1,1,44,44,1
"com.example.socialnetworkgui.controller.SentFriendRequestPage.setService(ServiceUser, ServiceFriendship, ServiceMessage)",0,1,1,42,39,1
com.example.socialnetworkgui.controller.SentFriendRequestPage.update(FriendshipEntityChangeEvent),0,1,1,12,4,1
com.example.socialnetworkgui.controller.SentMessagesPage.handleBack(ActionEvent),1,1,2,116,166,2
com.example.socialnetworkgui.controller.SentMessagesPage.initModel(),1,1,2,60,68,2
com.example.socialnetworkgui.controller.SentMessagesPage.initialize(),0,1,1,57,62,1
"com.example.socialnetworkgui.controller.SentMessagesPage.setService(ServiceUser, ServiceFriendship, ServiceMessage)",0,1,1,42,39,1
com.example.socialnetworkgui.controller.SignUp.signup(ActionEvent),1,1,2,229,373,2
com.example.socialnetworkgui.controller.UserPage.handleAdd(ActionEvent),1,1,2,132,196,2
com.example.socialnetworkgui.controller.UserPage.handleBack(ActionEvent),1,1,2,100,134,2
com.example.socialnetworkgui.controller.UserPage.handleDelete(ActionEvent),1,1,2,80,101,2
com.example.socialnetworkgui.controller.UserPage.handleReceivedMessages(ActionEvent),1,1,2,132,196,2
com.example.socialnetworkgui.controller.UserPage.handleRequest(ActionEvent),1,1,2,132,196,2
com.example.socialnetworkgui.controller.UserPage.handleSendMessage(ActionEvent),1,1,2,132,196,2
com.example.socialnetworkgui.controller.UserPage.handleSent(ActionEvent),1,1,2,132,196,2
com.example.socialnetworkgui.controller.UserPage.handleSentMessages(ActionEvent),1,1,2,132,196,2
com.example.socialnetworkgui.controller.UserPage.initModel(),0,1,1,44,48,1
com.example.socialnetworkgui.controller.UserPage.initialize(),0,1,1,44,44,1
"com.example.socialnetworkgui.controller.UserPage.setService(ServiceUser, ServiceFriendship, ServiceMessage)",0,1,1,42,39,1
com.example.socialnetworkgui.controller.UserPage.update(FriendshipEntityChangeEvent),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Entity.getID(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Entity.setID(ID),0,1,1,15,8,1
com.example.socialnetworkgui.domain.Friendship.Friendship(),0,1,1,5,0,1
"com.example.socialnetworkgui.domain.Friendship.Friendship(User, User)",0,1,1,25,18,1
"com.example.socialnetworkgui.domain.Friendship.Friendship(User, User, Boolean)",0,1,1,35,30,1
"com.example.socialnetworkgui.domain.Friendship.Friendship(User, User, LocalDateTime, Boolean)",0,1,1,45,43,1
com.example.socialnetworkgui.domain.Friendship.equals(Object),4,3,3,103,129,5
com.example.socialnetworkgui.domain.Friendship.getDate(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Friendship.getPending(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Friendship.getU1(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Friendship.getU2(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Friendship.hashCode(),0,1,1,21,15,1
com.example.socialnetworkgui.domain.Friendship.setDate(LocalDateTime),0,1,1,15,8,1
com.example.socialnetworkgui.domain.Friendship.setPending(Boolean),0,1,1,18,11,1
com.example.socialnetworkgui.domain.Friendship.setU1(User),0,1,1,18,11,1
com.example.socialnetworkgui.domain.Friendship.setU2(User),0,1,1,18,11,1
com.example.socialnetworkgui.domain.Friendship.toString(),0,1,1,58,73,1
"com.example.socialnetworkgui.domain.Message.Message(User, User, String)",0,1,1,35,30,1
com.example.socialnetworkgui.domain.Message.equals(Object),4,3,4,112,147,6
com.example.socialnetworkgui.domain.Message.getFrom(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Message.getMessage(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Message.getTo(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Message.getUser1Firstname(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Message.getUser1Lastname(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Message.getUser2Firstname(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Message.getUser2Lastname(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Message.hashCode(),0,1,1,24,19,1
com.example.socialnetworkgui.domain.Message.setFrom(User),0,1,1,18,11,1
com.example.socialnetworkgui.domain.Message.setMessage(String),0,1,1,18,11,1
com.example.socialnetworkgui.domain.Message.setTo(User),0,1,1,18,11,1
com.example.socialnetworkgui.domain.Message.setUser1Firstname(String),0,1,1,18,11,1
com.example.socialnetworkgui.domain.Message.setUser1Lastname(String),0,1,1,18,11,1
com.example.socialnetworkgui.domain.Message.setUser2Firstname(String),0,1,1,18,11,1
com.example.socialnetworkgui.domain.Message.setUser2Lastname(String),0,1,1,18,11,1
com.example.socialnetworkgui.domain.Message.toString(),0,1,1,36,38,1
"com.example.socialnetworkgui.domain.Pair.Pair(E1, E2)",0,1,1,25,18,1
com.example.socialnetworkgui.domain.Pair.getE1(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Pair.getE2(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.Pair.setE1(E1),0,1,1,18,11,1
com.example.socialnetworkgui.domain.Pair.setE2(E2),0,1,1,18,11,1
com.example.socialnetworkgui.domain.Pair.toString(),0,1,1,21,15,1
com.example.socialnetworkgui.domain.User.User(),0,1,1,5,0,1
"com.example.socialnetworkgui.domain.User.User(String, String, List<User>, String, String)",0,1,1,55,57,1
"com.example.socialnetworkgui.domain.User.User(String, String, List<User>, String, String, List<User>)",0,1,1,65,70,1
com.example.socialnetworkgui.domain.User.addFriend(User),0,1,1,18,11,1
com.example.socialnetworkgui.domain.User.addRequests(User),0,1,1,18,11,1
com.example.socialnetworkgui.domain.User.deleteFriend(User),0,1,1,18,11,1
com.example.socialnetworkgui.domain.User.deleteRequest(User),0,1,1,18,11,1
com.example.socialnetworkgui.domain.User.equals(Object),4,3,4,112,147,6
com.example.socialnetworkgui.domain.User.getEmail(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.User.getFirstName(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.User.getFriends(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.User.getLastName(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.User.getPassword(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.User.getRequests(),0,1,1,12,4,1
com.example.socialnetworkgui.domain.User.hashCode(),0,1,1,24,19,1
com.example.socialnetworkgui.domain.User.setEmail(String),0,1,1,18,11,1
com.example.socialnetworkgui.domain.User.setFirstName(String),0,1,1,18,11,1
com.example.socialnetworkgui.domain.User.setLastName(String),0,1,1,18,11,1
com.example.socialnetworkgui.domain.User.setPassword(String),0,1,1,18,11,1
com.example.socialnetworkgui.domain.User.toString(),0,1,1,33,31,1
com.example.socialnetworkgui.domain.validation.FriendshipValidator.validate(Friendship),1,2,1,49,50,2
com.example.socialnetworkgui.domain.validation.MessageValidator.validate(Message),2,3,1,74,82,3
com.example.socialnetworkgui.domain.validation.UserValidator.validate(User),4,5,1,145,177,5
com.example.socialnetworkgui.domain.validation.ValidationException.ValidationException(),0,1,1,5,0,1
com.example.socialnetworkgui.domain.validation.ValidationException.ValidationException(String),0,1,1,15,8,1
"com.example.socialnetworkgui.domain.validation.ValidationException.ValidationException(String, Throwable)",0,1,1,18,11,1
"com.example.socialnetworkgui.domain.validation.ValidationException.ValidationException(String, Throwable, boolean, boolean)",0,1,1,30,26,1
com.example.socialnetworkgui.domain.validation.ValidationException.ValidationException(Throwable),0,1,1,15,8,1
"com.example.socialnetworkgui.repository.FriendshipDB.FriendshipDB(String, String, String, Validator<Friendship>, Repository<Long, User>)",0,1,1,55,57,1
com.example.socialnetworkgui.repository.FriendshipDB.delete(SortedSet<Long>),1,1,2,110,155,2
"com.example.socialnetworkgui.repository.FriendshipDB.executeStatement(Friendship, String)",1,1,2,95,131,2
com.example.socialnetworkgui.repository.FriendshipDB.extractFriendship(ResultSet),4,2,3,221,330,4
com.example.socialnetworkgui.repository.FriendshipDB.findAll(),2,1,3,232,373,3
"com.example.socialnetworkgui.repository.FriendshipDB.findByName(String, String)",0,1,1,12,4,1
com.example.socialnetworkgui.repository.FriendshipDB.findOne(SortedSet<Long>),4,4,2,242,361,5
com.example.socialnetworkgui.repository.FriendshipDB.save(Friendship),7,4,4,229,368,6
com.example.socialnetworkgui.repository.FriendshipDB.update(Friendship),3,3,2,261,435,4
com.example.socialnetworkgui.repository.InMemoryRepository.InMemoryRepository(Validator<E>),0,1,1,22,15,1
com.example.socialnetworkgui.repository.InMemoryRepository.delete(ID),1,2,1,61,56,2
com.example.socialnetworkgui.repository.InMemoryRepository.findAll(),0,1,1,15,8,1
"com.example.socialnetworkgui.repository.InMemoryRepository.findByName(String, String)",0,1,1,12,4,1
com.example.socialnetworkgui.repository.InMemoryRepository.findOne(ID),1,2,1,44,41,2
com.example.socialnetworkgui.repository.InMemoryRepository.save(E),3,3,2,98,114,3
com.example.socialnetworkgui.repository.InMemoryRepository.update(E),2,3,2,95,108,3
"com.example.socialnetworkgui.repository.MessageDB.MessageDB(String, String, String, Validator<Message>, Repository<Long, User>)",0,1,1,55,57,1
com.example.socialnetworkgui.repository.MessageDB.delete(Long),3,3,2,134,180,4
com.example.socialnetworkgui.repository.MessageDB.extractMessage(ResultSet),0,1,1,176,260,1
com.example.socialnetworkgui.repository.MessageDB.findAll(),2,1,3,164,237,3
"com.example.socialnetworkgui.repository.MessageDB.findByName(String, String)",0,1,1,12,4,1
